"THE_COUNTY","year","month","total_prcp","tmax","tmin"
"SANTA CRUZ",2006,3,286.23807125038,13.5240573082452,4.09397656281745
"SANTA CRUZ",2006,4,217.423212337395,16.7137626731918,7.28078582597143
"SANTA CRUZ",2006,5,18.3789954399402,22.2673287210902,8.95483215249885
"SANTA CRUZ",2006,6,0,25.3919282828543,11.459450853098
"SANTA CRUZ",2006,7,0,28.2800410059426,12.6567460158697
"SANTA CRUZ",2006,8,0,24.5357880796367,11.3315144391993
"SANTA CRUZ",2006,9,0,24.763047279898,10.1759300580863
"SANTA CRUZ",2006,10,5.68785495201821,22.7433540390765,7.84307507168158
"SANTA CRUZ",2006,11,55.8752972537343,18.577698675604,5.92532032489079
"SANTA CRUZ",2006,12,125.761038900546,15.6239183756275,3.09825683003208
"SANTA CRUZ",2007,1,21.9030970030404,14.9589385916348,0.812314604931114
"SANTA CRUZ",2007,2,185.110898534361,15.1477659222955,4.787915006015
"SANTA CRUZ",2007,3,8.88387335094358,20.2553548536735,5.65545027003115
"SANTA CRUZ",2007,4,42.0347620851922,19.6647394404486,5.90587024476093
"SANTA CRUZ",2007,5,8.91158486224141,21.8019107651764,7.84244755520611
"SANTA CRUZ",2007,6,0,24.9386268083738,9.17892376691375
"SANTA CRUZ",2007,7,0,25.9620732721455,11.5957168450923
"SANTA CRUZ",2007,8,0,26.7282084295802,11.5108496550278
"SANTA CRUZ",2007,9,10.1383393131359,25.0221049719925,9.85850919602578
"SANTA CRUZ",2007,10,33.6393932956645,22.2450017121475,7.49141340985594
"SANTA CRUZ",2007,11,15.0067007055134,20.0110058957837,5.45839268240404
"SANTA CRUZ",2007,12,95.0299806522592,14.0287957769048,2.06942863131773
"SANTA CRUZ",2008,1,318.547983130272,13.2238779745754,2.87435858670308
"SANTA CRUZ",2008,2,133.898738150675,16.2647644084162,3.63212705782424
"SANTA CRUZ",2008,3,6.23803332674266,18.7685335252649,3.34332829447797
"SANTA CRUZ",2008,4,6.7667335315388,20.5154331779152,4.33863606274915
"SANTA CRUZ",2008,5,0,22.3077424500262,7.73904690829764
"SANTA CRUZ",2008,6,0,26.1485343747405,10.0374377099024
"SANTA CRUZ",2008,7,0,25.9472997096674,11.9654612047966
"SANTA CRUZ",2008,8,0,26.4424296140892,11.8055835318003
"SANTA CRUZ",2008,9,0,26.764253365295,11.6084780831155
"SANTA CRUZ",2008,10,19.9445953119132,25.2811138046363,9.47642484527091
"SANTA CRUZ",2008,11,68.0481327709279,20.0052148068692,8.23447288523494
"SANTA CRUZ",2008,12,80.6440769655973,14.2625904823248,3.14752406745838
"SANTA CRUZ",2009,1,39.8259110940825,18.1602971136851,4.5224761497704
"SANTA CRUZ",2009,2,324.457746754796,15.1135119271215,5.37989576444747
"SANTA CRUZ",2009,3,90.2118716344787,17.1112008489592,5.07563704858145
"SANTA CRUZ",2009,4,13.0207085344472,19.7526376284862,6.07044970013943
"SANTA CRUZ",2009,5,44.0795885288405,21.6960927146993,9.66460837788481
"SANTA CRUZ",2009,6,1.63530977832579,23.123929553611,10.7525401781673
"SANTA CRUZ",2009,7,0,25.6155513822143,11.7089186942106
"SANTA CRUZ",2009,8,0,26.6495644271458,12.4182744651244
"SANTA CRUZ",2009,9,11.9433703083563,27.2947374774453,11.9277523904607
"SANTA CRUZ",2009,10,187.512800339349,21.7897235680738,9.2168778735315
"SANTA CRUZ",2009,11,7.1402289599901,19.022494905449,5.29183780126024
"SANTA CRUZ",2009,12,122.38849406896,13.9754010989911,3.9858513470828
"SANTA CRUZ",2010,1,268.340890408452,15.1980926343599,5.96231968300752
"SANTA CRUZ",2010,2,197.835632982083,15.7099503340347,6.20219904836048
"SANTA CRUZ",2010,3,110.463710082474,17.8148336361421,4.86664821978447
"SANTA CRUZ",2010,4,149.409355612153,17.3701455043999,5.59804027356909
"SANTA CRUZ",2010,5,24.6532630996317,19.6652518097167,7.10897780797175
"SANTA CRUZ",2010,6,0,23.7701232643321,10.3883399768195
"SANTA CRUZ",2010,7,0,23.4162183715989,11.7100376861396
"SANTA CRUZ",2010,8,0.201376556714219,24.0263956453829,11.2105811551543
"SANTA CRUZ",2010,9,0.0577476677649713,26.4388158735962,11.291514007641
"SANTA CRUZ",2010,10,77.1975399352694,21.8365393793072,9.91041128836781
"SANTA CRUZ",2010,11,120.162835315189,17.5262484589905,5.49084428857511
"SANTA CRUZ",2010,12,321.791324337449,14.354471996246,6.17285479000269
"SANTA CRUZ",2011,1,56.2504341196558,16.8878190619246,4.85103053885861
"SANTA CRUZ",2011,2,192.549229391055,15.332561823017,3.3393646893367
"SANTA CRUZ",2011,3,303.588147371232,15.9283716574616,6.11879586234113
"SANTA CRUZ",2011,4,22.4133224992289,18.6004789797458,6.06767117276607
"SANTA CRUZ",2011,5,63.7287589405816,19.4255856012766,7.07059030161898
"SANTA CRUZ",2011,6,74.7437960467799,21.500278691645,10.2246398308347
"SANTA CRUZ",2011,7,0.0333333333333333,24.3705885204842,12.0330970135679
"SANTA CRUZ",2011,8,0.57590049433618,23.7986556572225,11.8538248908938
"SANTA CRUZ",2011,9,0.560529432005286,25.8894996821858,12.1547007737443
"SANTA CRUZ",2011,10,67.4575527111945,23.6803738595213,10.446579651188
"SANTA CRUZ",2011,11,79.993280253987,17.0262885610396,5.38248756404911
"SANTA CRUZ",2011,12,3.74485446971946,16.3403622402683,2.58503342545466
"SANTA CRUZ",2012,1,147.91386770802,17.419393565723,3.73109045592721
"SANTA CRUZ",2012,2,62.7266555444266,17.1827544217717,4.34240281160958
"SANTA CRUZ",2012,3,268.575664849205,16.8013522196266,5.23920211655369
"SANTA CRUZ",2012,4,88.0610946347865,20.0393158865887,7.15009248808642
"SANTA CRUZ",2012,5,1.07675169880715,22.7722949839025,8.32726997247671
"SANTA CRUZ",2012,6,5.63306590938616,24.6370951570011,9.63015130383325
